epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7932.63,1.03498,0.79627,0.01635,0.82432,0.74535,0.8031,0.54101,1.14767,0.90818,0.02544,0.000944,0.000944,0.000944
82,8019.61,1.03918,0.75493,0.01625,0.84256,0.72656,0.81339,0.54995,1.14196,0.89569,0.02507,0.0009308,0.0009308,0.0009308
83,8106.36,1.05034,0.75713,0.0166,0.7514,0.77083,0.80349,0.55247,1.14193,0.88393,0.0249,0.0009176,0.0009176,0.0009176
84,8191.9,1.04472,0.75428,0.01661,0.80479,0.74479,0.80523,0.55081,1.13455,0.9051,0.0249,0.0009044,0.0009044,0.0009044
85,8278.94,1.02098,0.73488,0.0156,0.81429,0.76507,0.80933,0.54764,1.11199,0.90469,0.02398,0.0008912,0.0008912,0.0008912
86,8365.16,1.03449,0.75599,0.01646,0.81698,0.73234,0.80504,0.55458,1.12536,0.86536,0.0242,0.000878,0.000878,0.000878
87,8450.93,1.01292,0.742,0.01623,0.84247,0.72917,0.8117,0.54508,1.12673,0.89582,0.02441,0.0008648,0.0008648,0.0008648
88,8537.88,1.02065,0.76643,0.01616,0.80871,0.78385,0.80573,0.54857,1.10862,0.91491,0.02409,0.0008516,0.0008516,0.0008516
89,8623.8,1.01085,0.7737,0.01563,0.86479,0.6875,0.80264,0.55357,1.11639,0.92318,0.02442,0.0008384,0.0008384,0.0008384
90,8710.02,1.01668,0.75823,0.01571,0.87053,0.73438,0.82247,0.56176,1.10749,0.86892,0.0241,0.0008252,0.0008252,0.0008252
91,8796.83,1.01354,0.7415,0.01576,0.79683,0.79427,0.82778,0.5646,1.11959,0.86597,0.02429,0.000812,0.000812,0.000812
92,8882.47,0.99769,0.72694,0.01534,0.87392,0.70833,0.81755,0.5538,1.14834,0.88164,0.02595,0.0007988,0.0007988,0.0007988
93,8969.08,1.00924,0.72919,0.01561,0.80575,0.71295,0.80754,0.55156,1.14276,0.88047,0.02574,0.0007856,0.0007856,0.0007856
94,9056.02,0.99353,0.74763,0.01557,0.80396,0.7474,0.80949,0.55173,1.12309,0.92084,0.02456,0.0007724,0.0007724,0.0007724
95,9141.74,1.0009,0.73037,0.01554,0.81468,0.7526,0.81148,0.55294,1.10574,0.86872,0.02397,0.0007592,0.0007592,0.0007592
96,9228.7,1.02087,0.73459,0.0163,0.79661,0.77516,0.80349,0.54691,1.12364,0.89529,0.02455,0.000746,0.000746,0.000746
97,9315.28,1.00581,0.71067,0.01581,0.81362,0.76169,0.82177,0.55965,1.12804,0.89519,0.02491,0.0007328,0.0007328,0.0007328
98,9401.08,0.99082,0.70189,0.01573,0.8231,0.76339,0.81569,0.55427,1.10248,0.88441,0.02433,0.0007196,0.0007196,0.0007196
99,9488.34,1.01031,0.71373,0.01572,0.85008,0.72357,0.81354,0.55773,1.0866,0.8967,0.02361,0.0007064,0.0007064,0.0007064
100,9574.62,0.97801,0.72008,0.01531,0.84689,0.72656,0.80839,0.55125,1.10054,0.89216,0.02373,0.0006932,0.0006932,0.0006932
101,9660.39,0.98359,0.70827,0.01527,0.83781,0.71354,0.7945,0.54786,1.10645,0.91146,0.02367,0.00068,0.00068,0.00068
102,9747.5,0.97575,0.69154,0.01507,0.79872,0.75781,0.80751,0.55681,1.10926,0.87755,0.02379,0.0006668,0.0006668,0.0006668
103,9832.99,0.9665,0.68445,0.01499,0.77502,0.76823,0.80453,0.56388,1.08553,0.90362,0.02302,0.0006536,0.0006536,0.0006536
104,9919.13,0.98232,0.67742,0.01509,0.82264,0.7526,0.81032,0.5642,1.11124,0.89407,0.02397,0.0006404,0.0006404,0.0006404
105,10006.3,0.96978,0.68522,0.01539,0.84533,0.77083,0.81606,0.56553,1.0953,0.86617,0.02344,0.0006272,0.0006272,0.0006272
106,10091.7,0.97444,0.69182,0.01511,0.84264,0.76697,0.81614,0.55964,1.10503,0.86643,0.02396,0.000614,0.000614,0.000614
107,10178.2,0.96164,0.66329,0.01521,0.81447,0.76823,0.80599,0.54899,1.10767,0.90819,0.02399,0.0006008,0.0006008,0.0006008
108,10264.9,0.9614,0.64919,0.01477,0.76795,0.80151,0.79964,0.55018,1.09298,0.9355,0.02366,0.0005876,0.0005876,0.0005876
109,10350.6,0.9667,0.66865,0.01509,0.81481,0.7906,0.82056,0.55961,1.11114,0.8794,0.02403,0.0005744,0.0005744,0.0005744
110,10437.3,0.93796,0.65711,0.01426,0.83856,0.75781,0.81158,0.55296,1.10246,0.88628,0.02408,0.0005612,0.0005612,0.0005612
111,10523.6,0.97473,0.67136,0.01516,0.8345,0.74846,0.80859,0.56511,1.11303,0.85592,0.02397,0.000548,0.000548,0.000548
112,10610,0.94536,0.67154,0.01478,0.79001,0.77865,0.80506,0.55496,1.08126,0.9213,0.02351,0.0005348,0.0005348,0.0005348
113,10696.9,0.94516,0.66354,0.01443,0.812,0.7526,0.80591,0.55474,1.10845,0.90895,0.02361,0.0005216,0.0005216,0.0005216
114,10782.6,0.95135,0.64111,0.01461,0.80841,0.75819,0.79597,0.54687,1.11042,0.9204,0.02386,0.0005084,0.0005084,0.0005084
115,10870,0.92876,0.62763,0.0144,0.8063,0.75879,0.80576,0.56532,1.09749,0.90352,0.02365,0.0004952,0.0004952,0.0004952
116,11007.6,0.93181,0.65392,0.01457,0.80443,0.77865,0.80344,0.56303,1.07912,0.87373,0.02308,0.000482,0.000482,0.000482
117,11202.2,0.93459,0.65046,0.01436,0.83212,0.73438,0.79873,0.55561,1.10202,0.91208,0.02415,0.0004688,0.0004688,0.0004688
118,11395.7,0.93034,0.63433,0.01462,0.86947,0.75781,0.81152,0.55988,1.10007,0.89538,0.02385,0.0004556,0.0004556,0.0004556
119,11588,0.93602,0.63021,0.0146,0.84204,0.7526,0.81233,0.56407,1.08375,0.87047,0.02296,0.0004424,0.0004424,0.0004424
120,11781.1,0.93026,0.64645,0.01434,0.81549,0.77083,0.81682,0.56656,1.10744,0.8661,0.02359,0.0004292,0.0004292,0.0004292
121,11972.6,0.9218,0.63623,0.01417,0.8373,0.75781,0.81419,0.56478,1.07896,0.92744,0.02293,0.000416,0.000416,0.000416
122,12161.9,0.92729,0.6195,0.01404,0.82909,0.7706,0.80755,0.55948,1.0894,0.91854,0.02325,0.0004028,0.0004028,0.0004028
123,12343.9,0.92609,0.63281,0.01456,0.83254,0.7526,0.80863,0.56096,1.08505,0.94471,0.02309,0.0003896,0.0003896,0.0003896
124,12529.9,0.90286,0.61801,0.01412,0.82399,0.76302,0.81264,0.56271,1.07713,0.92855,0.02287,0.0003764,0.0003764,0.0003764
125,12722.1,0.92046,0.62721,0.01413,0.83679,0.7477,0.81485,0.56643,1.09124,0.89625,0.02319,0.0003632,0.0003632,0.0003632
126,12912.3,0.91481,0.60162,0.01439,0.83469,0.76302,0.81681,0.5659,1.08611,0.89937,0.0231,0.00035,0.00035,0.00035
127,13107.8,0.90682,0.60689,0.01361,0.83195,0.76062,0.81782,0.56689,1.07995,0.88984,0.02299,0.0003368,0.0003368,0.0003368
